algo,rmse,mae
base,0.9422541799329658,0.7413586954857572
SlopeOne,0.5116383472132205,0.3008167790155242
KNNBasic,0.655549678353115,0.4564927366684307
KNNBasic,0.7101024785750861,0.5359853297841538
